# blastn
# Iteration: 0
# Query: 
# RID: 198Y4T94013
# Database: nt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
Query_61821	KF297339.1	100.000	9848	0	0	1	9848	61179	71026	0.0	18186
Query_61821	MW439039.1	100.000	9848	0	0	1	9848	60578	70425	0.0	18186
Query_61821	MW439038.1	100.000	9848	0	0	1	9848	60578	70425	0.0	18186
Query_61821	EF999921.1	100.000	9848	0	0	1	9848	93220	103067	0.0	18186
Query_61821	KX544839.1	99.980	9848	0	2	1	9848	93202	103047	0.0	18173
Query_61821	MT044484.1	99.970	9848	3	0	1	9848	60531	70378	0.0	18170
Query_61821	KP745642.1	99.838	9848	16	0	1	9848	60503	70350	0.0	18098
Query_61821	MT044477.1	99.827	9848	17	0	1	9848	60450	70297	0.0	18092
Query_61821	KP745692.1	99.827	9848	17	0	1	9848	60557	70404	0.0	18092
Query_61821	KP745666.1	99.827	9848	17	0	1	9848	60663	70510	0.0	18092


